序號,方言差編碼,詞目,鹿港,三峽,臺北,宜蘭,臺南,高雄,金門,馬公,新竹,臺中
84,[方1]0084,說謊,白賊　pe̍h-tsha̍t,白賊　pē-tsha̍t,白賊　pe̍h-tsha̍t,白賊　pe̍h-tsha̍t,白賊　pe̍h-tsha̍t,白賊　pe̍h-tsha̍t,"白賊　pe̍h-tsha̍t, 呺六　hau-la̍k",白賊　pe̍h-tsha̍t ,白賊　pe̍h-tsha̍t ,講白賊　kóng-pe̍h-tsha̍t 
85,[方1]0085,姦夫,契兄　khè-hiann,契兄　kherè-hiann,契兄　khuè-hiann,"契兄　khè-hiann, 猴　kâu","契兄　khè-hiann, 猴　kâu","契兄　khè-hiann, 猴　kâu","契兄　khuè-hiann, 猴　kâu",契兄　khuè-hiann ,契兄　khè-hiann ,契兄　khè-hiann 
86,[方1]0086,絕子絕孫(詈語),"鏨頭短命　tsǎm-thâu-té-miā, 絕種　tse̍rh-tsíng, 膨肚短命　phòng-tǒo-té-miā","孤𣮈　koo-khu̍t, 無傳　bô-thn̂g, 絕種　tsēr-tsíng","孤𣮈　koo-khu̍t, 無傳　bô-thn̂g, 絕種　tse̍h-tsíng","孤𣮈　koo-khu̍t, 孤𣮈絕種　koo-khu̍t-tse̍h-tsíng, 無傳　bô-thuînn","孤𣮈　koo-khu̍t, 無傳　bô-thn̂g, 絕種　tsua̍t-tsíng, 孤毛絕種　koo-moo-tse̍h-tsíng","孤𣮈絕種　koo-khu̍t-tse̍h-tsíng, 無傳　bôr-thn̂g, 無嗣　bôr-sû, 孤毛絕種　koo-moo-tse̍h-tsíng","孤𣮈　koo-khu̍t, 絕種　tse̍rh-tsíng","孤𣮈　koo-khu̍t, 絕種　tse̍h-tsíng",孤毛絕種　koo-moo-tse̍rh-tsíng,孤𣮈絕種　koo-khu̍t-tse̍h-tsíng
87,[方1]0087,煎藥,煎　tsuann,煎藥仔　tsuann-io̍h-á,煎藥仔　tsuann-io̍h-á,煎藥仔　tsuann-io̍rh-á,煎　tsuann,煎藥仔　tsuann-io̍rh-á,煎藥　tsuann-io̍h,煎藥　tsuann-io̍h,煎藥　tsuann-io̍h,煎藥仔　tsuann-io̍h-á
88,[方1]0088,踩高蹺,接跤　tsiap-kha,踏蹺　tā-khiau,踏蹺　ta̍h-khiau,踏蹺　tā-khiau,"踏跤蹺　ta̍h-kha-khiau, 踏蹺　ta̍h-khiau",踏蹺　ta̍h-khiau,踏蹺　ta̍h-khiau,踏跤蹺　ta̍h-kha-khiau,踏蹺　ta̍h-khiau,踏蹺　ta̍h-khiau
89,[方1]0089,聊天,畫虎𡳞　uě-hóo-lǎn,"破豆　phò-tāu, 開講　khai-káng, 畫虎𡳞　uē-hóo-lān","開講　khai-káng, 敲虎𡳞　khà-hóo-lān","開講　khai-káng, 畫虎𡳞　uē-hóo-lān","開講　khai-káng, 畫虎𡳞　uē-hóo-lān","破豆　phòr-tāu, 開講　khai-káng, 畫虎𡳞　uē-hóo-lān","答喙鼓　tap-tshuì-kóo, 開講　khai-káng",畫虎𡳞　uī-hóo-lān,開講　khai-káng,"開講　khai-káng, 破豆　phò-tāu"
90,[方1]0090,配藥,敆藥仔　kap-io̍h-á,敆藥仔　kap-io̍h-á,敆藥仔　kap-io̍h-á,"敆藥仔　kap-io̍h-á, 搣藥仔　me-io̍h-á",敆藥仔　kap-io̍rh-á,敆藥仔　kap-io̍rh-á,敆藥　kap-io̍h,敆藥　kap-io̍h,敆藥　kap-io̍h,敆藥仔　kap-io̍h-á
91,[方1]0091,人參,人參　lîn-serm,人參　jîn-sim,人參　lîn-sim,人參　jîn-sim,人參　jîn-sim,人參仔　jîn-sim-á,人參　lîn-sim,人參　jîn-song,"高麗　ko-lê, 高麗參　ko-lê-sim, 野參　iá-sam",人參　gîn-som
92,[方1]0092,手搖鼓、波浪鼓,賣搖鼓的　buě-iô-kóo--ê,玲瑯鼓　lin-long-kóo,玲瑯鼓　lin-long-kóo,玲瑯鼓　lin-long-kóo,玲瑯鼓　lin-long-kóo,玲瑯鼓　lin-long-kóo,搖鼓　iô-kóo,人公鼓　jîn-kang-kóo,賣搖鼓　buē-iô-kóo,暫無資料　
93,[方1]0093,嗩吶,鼓吹　kóo-tsher,鼓吹　kóo-tsher,鼓吹　kóo-tshe,鼓吹　kóo-tshue,鼓吹　kóo-tshue,鼓吹　kóo-tshue,古吹　kóo-tsher,古吹　kóo-tshe,古吹　kóo-tsher; kóo-tshe,古吹　kóo-tshue
95,[方1]0095,露水,露水　lǒo-tsuí,露水　lòo-tsuí,露水　lòo-tsuí,露水　lòo-tsuí,露水　lōo-tsuí,露水　lōo-tsuí,露水　lōo-tsuí,露水　lōo-tsuí,露水　lòo-tsuí,露水　lòo-tsuí; lōo-tsuí
96,[方1]0096,霧,"罩雺霧　tà-bông-bǔ, 霧　bǔ",雺霧　bông-bū,罩雺霧　tà-bông-bū,"罩雺　tà-môo, 霧　bū","罩雺霧　tà-môo-bū, 霧　bū","罩雺　tà-bông, 罩霧　tà-bū, 霧　bū",霧　bū,霧　bū,霧　bū,"霧　bū, 雺　bông"
98,[方1]0098,龍捲風,捲螺仔風　kńg-lêr-á-hong,"捲螺仔風　kńg-lêr-á-hong, 鼠尾風　tshír-bér-hong",捲螺仔風　kńg-lê-á-hong,捲螺仔風　kuínn-lê-á-hong,捲螺仔風　kńg-lê-á-hong,捲螺仔風　kńg-lê-á-hong,捲螺仔風　kńg-lêr-á-huang,鬼仔風　kuí-á-hong,"龍捲風　lîng-kńg-hong, 捲螺仔風　kńg-lêr-á-hong; kńg-lê-á-hong","龍捲風　lîng-kńg-hong, 捲螺仔風　kńg-lê-á-hong"
99,[方1]0099,冰雹,冰角　ping-kak,雹　phàu,雹　phau,雹　phàu,冰角　ping-kak,冰角　ping-kak,雹　phau,雹　phau,冰雹　ping-phàu,冰雹　ping-pha̍uh; ping-phāu
100,[方1]0100,西北雨,西北雨　sai-pak-hǒo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo,西北雨　sai-pak-hōo
101,[方1]0101,打雷,霆雷　tân-luî,霆雷　tân-luî,霆雷　tân-luî,霆雷　tân-luî,霆雷公　tân-luî-kong,霆雷公　tân-luî-kong,霆雷　tân-luî,霆雷　tân-luî,"霆雷　tân-luî, 霆雷公　tân-luî-kong","霆雷　tân-luî, 霆雷公　tân-luî-kong"
102,[方1]0102,水漩渦,捲螺仔水　kńg-lêr-á-tsuí,捲螺仔水　kńg-lêr-á-tsuí,暫無資料　,捲螺仔旋　kuínn-lê-á-tsuīnn,捲螺仔旋　kńg-lê-á-tsn̄g,捲螺仔旋　kńg-lê-á-tsn̄g,暫無資料　,捲螺仔　kńg-lê--á,捲螺仔水　kńg-lêr-á-tsuí; kńg-lê-á-tsuí,捲螺仔水　kńg-lê-á-tsuí
103,[方1]0103,泥土,塗　thôo,塗　thôo,塗　thôo,塗　thôo,"塗　thôo, 塗沙　thôo-sua",塗　thôo,塗　thôo,塗　thôo,塗　thôo,塗　thôo
104,[方1]0104,山上,山頂　suann-tíng,山頂　suann-tíng,山頂　suann-tíng,"山尖　suann-tsiam, 山頂　suann-tíng","山尾溜　suann-bué-liu, 山頂　suann-tíng","山尾溜　suann-bué-liu, 山頂　suann-tíng",山頂　suann-tíng,山頂　suann-tíng,山頂　suann-tíng,山頂　suann-tíng
105,[方1]0105,以前,"古早　kóo-tsá, 原早　guân-tsá","古早　kóo-tsá, 往過　íng-kèr","古早　kóo-tsá, 頂回　tíng-huê, 頂擺　tíng-pái","以前　í-tsîng, 古早　kóo-tsá, 往擺　íng-pái, 較早　khah-tsá","以早　í-tsá, 以前　í-tsîng, 古早　kóo-tsá, 向時　hiàng-sî, 往擺　íng-pái, 進前　tsìn-tsîng, 較早　khah-tsá","以早　í-tsá, 以前　í-tsîng, 古早　kóo-tsá, 向時　hiàng-sî, 往擺　íng-pái, 進前　tsìn-tsîng, 較早　khah-tsá",古早　kóo-tsá,"較早　khah-tsá, 過去　kè-khù, 古早　kóo-tsá, 頂擺　tíng-pái","古早　kóo-tsá, 進前　tsìn-tsîng","以早　í-tsá, 較早　khah-tsá, 古早　kóo-tsá, 以前　í-tsîng"
106,[方1]0106,時候,時陣　sî-tsǔn,時陣　sî-tsūn,時陣　sî-tsūn,時陣　sî-tsūn,時陣　sî-sūn,時陣　sî-tsūn,時陣　sî-tsūn,時陣　sî-tsūn,時陣　sî-tsūn,時陣　sî-tsūn
107,[方1]0107,明年,"明年　muâ-nî, 新年　sin-nî",明年　muâ-nî,明年　muâ-nî,明年　mê-nî,明年　mê-nî; mî-nî,明年　mê-nî,明年　bîn-nî,明年　mî-nî,明年　muâ-nî,明年　mê-nî
108,[方1]0108,後年,後年　āu-nî,後年　āu--nî,後年　āu--nî,後年　āu-nî,後年　āu-nî,後年　āu-nî,後年　āu-nî,後年　āu-nî,後年　āu--nî,後年　āu-nî
109,[方1]0109,前年,前年　tsûn--nî,前年　tsûn--nî,前年　tsűn--nî,"前年　tsū-nî, 舊前年　kū-tsū-nî","前年　tsûn--nî, 舊前年　kū-tsûn--nî",前年　tsûn--nî,前年　tsun--nî,前年　tsûn--nî,前年　tsûn--nî,前年　tsū-nî
110,[方1]0110,後天,後日　āu--li̍t,後日　āu--ji̍t,後日　āu--li̍t,後日　āu--ji̍t,後日　āu-ji̍t,後日　āu--ji̍t,後日　āu--li̍t,明落後日　mê-lo̍h-āu--ji̍t,後日　āu--li̍t,後日　āu--ji̍t; āu--gi̍t
111,[方1]0111,昨天,"昨日　tsa̍h-li̍t, 昨昏　tsa-hng",昨昏　tsa̋ng,"昨昏　tsa-hng, 昨暗　tsa-àm",昨昏　tsa-huinn,昨昏　tsa-hng,昨昏　tsa-hng,昨昏　tsa-hng,昨昏　tsa-hng,昨昏　tsa-hng,昨昏　tsa-hng; tsa̋ng
112,[方1]0112,天亮,天光　thinn-kng,天光　thinn-kng,天光　thinn-kng,天光　thinn-kuinn,天光　thinn-kng,天光　thinn-kng,天光　thinn-kng,天光　thinn-kng,天光　thinn-kng,天光　thinn-kng
113,[方1]0113,中午,"(透)中晝　(thàu)-tiong-tàu, 晝矣　tàu--ah",透中晝　thàu-tiong-tàu,"中晝　tiong-tàu, 透中晝　thàu-tiong-tàu","中晝　tiong-tàu, 透中晝　thàu-tiong-tàu","中晝　tiong-tàu, 透中晝　thàu-tiong-tàu","中晝　tiong-tàu, 透中晝(心)　thàu-tiong-tàu-(sim)","中晝　tiong-tàu, 此中晝　tsiùnn-tiong-tàu",中晝　tiong-tàu　,中晝　tiong-tàu ,"中晝　tiong-tàu, 透中晝　thàu-tiong-tàu　"
114,[方1]0114,下午,"下昏　e-hng, 下晝　e-tàu, 下晡　e-poo","下晝　e-tàu, 下晡　e-poo","下午　hā-ngóo, 下晝　e-tàu, 下晡　e-poo","下晝　e-tàu, 下晡　enn-poo","下晝　e-tàu, 下晡　e-poo","下晝　e-tàu, 下晡　e-poo",下晝　ē-tàu,下晝　ē-tàu,"下晡　ē-poo, 下晝　ē-tàu","下晡　ē-poo, 下晝　ē-tàu"
115,[方1]0115,冬天,"冬天　tang-thinn, 寒人　kuânn--lâng, 寒天　kuânn-thinn","冬仔　tang-á, 寒天　kuânn-thinn","冬天　tang-thinn, 寒人　kuânn--lâng, 寒天　kuânn-thinn","冬天　tang-thinn, 寒人　kuânn--lâng, 寒天　kuânn-thinn","冬天　tang-thinn, 寒人　kuânn--lâng, 寒天　kuânn-thinn","冬天　tang-thinn, 寒人　kuânn--lâng, 寒天　kuânn-thinn","冬天　tang-thinn, 寒天　kuânn-thinn","冬天　tang-thinn, 寒天　kuânn-thinn","冬天　tang-thinn, 寒天人　kuânn-thinn--lâng","冬天　tang-thinn, 寒天　kuânn-thinn"
116,[方1]0116,前,"前仔　tsîng--á, 頭前　thâu-tsîng",面頭前　bīn-thâu-tsîng,頭前　thâu-tsîng,頭前　thâu-tsîng,頭前　thâu-tsîng,頭前　thâu-tsîng,頭前　thâu-tsâinn,頭前　thâu-tsân,"頭前　thâu-tsîng, 面前　bīn-tsîng",頭前　thâu-tsîng 
117,[方1]0117,後,"後仔　āu--á, 後面　āu-bīn, 後壁　āu-piah","尻脊後　ka-tsiah-āu, 後壁　āu-piah","後仔　āu--á, 後尾仔　āu-bé-á, 後面　āu-bīn, 後壁　āu-piah","後仔　āu--á, 後尾仔　āu-bué-á, 後壁　āu-piah, 後面　āu-bīn","後仔　āu--á, 後尾仔　āu-bué-á, 後面　āu-bīn, 後壁　āu-piah","後仔　āu--á, 後尾仔　āu-bué-á, 後面　āu-bīn, 後壁　āu-piah",後壁　āu-piah,後壁　āu-piah,"後壁　āu-piah, 後面　āu-bīn",後壁　āu-piah
118,[方1]0118,右,正爿　tsiànn-pîng,正面　tsiànn-bīn,正爿　tsiànn-pîng,正爿　tsiànn-pîng,正面　tsiànn-bīn,正爿　tsiànn-pîng,正爿　tsiànn-pîn,正面　tsiànn-bīn,正爿　tsiànn-pîng,正爿　tsiànn-pîng
119,[方1]0119,外面,外口　guā-kháu,外面　guā-bīn,外口　guā-kháu,"口面　kháu-bīn, 外口　guā-kháu","口面　kháu-bīn, 外口　guā-kháu","口面　kháu-bīn, 外口　guā-kháu",外口　guā-kháu,外面　guā-bīn,"外口　guā-kháu, 外面　guā-bīn","外口　guā-kháu, 外面　guā-bīn, 口面　kháu-bīn"
120,[方1]0120,地方,所在　sóo-tsāi,"地方　tē-hng, 所在　sóo-tsāi",所在　sóo-tsāi,所在　sóo-tsāi,所在　sóo-tsāi,所在　sóo-tsāi,所在　sóo-tsāi,所在　sóo-tsāi,所在　sóo-tsāi,"所在　sóo-tsāi, 地方　tē-hng"
121,[方1]0121,鄰居,"厝邊　tshù-pinn, 隔壁　keh-piah",隔壁　keh-piah,"厝邊　tshù-pinn, 隔壁　keh-piah","厝邊　tshù-pinn, 隔壁　keh-piah","厝邊　tshù-pinn, 隔壁　keh-piah","厝邊　tshù-pinn, 隔壁　keh-piah",隔壁　keh-piah,隔壁　keh-piah,"隔壁　keh-piah, 厝邊　tshù-pinn","厝邊　tshù-pinn, 厝邊隔壁　tshù-pinn keh-piah, 厝邊頭尾　tshù-pinn-thâu-bué"
122,[方1]0122,工具,"家私　ke-si, 家私頭　ke-si-thâu",家私頭仔　ke-si-thâu-á,"家私　ke-si, 家私頭仔　ke-si-thâu-á","家私　ke-si, 家私頭仔　ke-si-thâu-á","家私　ke-si, 家私頭仔　ke-si-thâu-á","家私　ke-si, 家私頭仔　ke-si-thâu-á","家私　ke-si, 家私頭仔　ke-si-thâu--á","家私　ke-si, 家私頭仔　ke-si-thâu--á",家私頭　ke-si-thâu,"工具　kang-kū, 家私　ke-si, 家私頭仔　ke-si-thâu-á"
123,[方1]0123,財產,"家伙　ke-hér, 財產　tsâi-sán","家伙　ke-hér, 財產　tsâi-sán","家伙　ke-hé, 財產　tsâi-sán","家伙　ke-hué, 財產　tsâi-sán","家伙　ke-hué, 財產　tsâi-sán","家伙　ke-hué, 財產　tsâi-sán",家伙　ke-hér,家伙　ke-hé,"家伙　ke-hé, 財產　tsâi-sán","家伙　ke-hué, 財產　tsâi-sán"
124,[方1]0124,肥皂,雪文　sap-muî,雪文　sap-muî,雪文　sap-muî; sap-bûn,雪文　sap-bûn,雪文　sap-bûn,雪文　sap-bûn,油胰　iû-i,雪文　sap-muî,茶箍　tê-khoo,茶箍　tê-khoo
125,[方1]0125,牙籤,齒戳仔　khí-thok-á,齒戳　khí-thok,"齒戳　khí-thok, 齒戳仔　khí-thok-á",齒戳　khí-thok,齒戳　khí-thok,齒戳　khí-thok,暫無資料　,齒戳　khí-thok,齒戳仔　khí-thok-á,齒戳仔　khí-thok-á
126,[方1]0126,面盆,面桶　bīn-tháng,面桶　bīn-tháng,面桶　bīn-tháng,面桶仔囝　bīn-tháng-á-kiánn,面桶　bīn-tháng,面桶　bīn-tháng,面桶　bīn-tháng　,面桶　bīn-tháng　,面桶　bīn-tháng　,面桶　bīn-tháng　
127,[方1]0127,腳盆,跤桶　kha-tháng,跤桶　kha-tháng,"跤斗仔　kha-táu-á, 跤桶　kha-tháng","跤斗　kha-táu, 跤桶　kha-tháng","跤斗仔　kha-táu-á, 跤桶　kha-tháng","跤斗　kha-táu, 跤桶　kha-tháng",跤桶　kha-tháng,跤桶　kha-tháng,跤桶　kha-tháng,跤桶　kha-tháng
129,[方1]0129,鑽仔,鑽仔　tsǹg-á,鑽仔　tsǹg-á,鑽仔　tsǹg-á,鑽仔　tsuìnn-á,鑽仔　tsǹg-á,鑽仔　tsǹg-á,鑽仔　tsǹg--á,鑽仔　tsǹg--á,鑽仔　tsǹg-á,鑽仔　tsǹg-á
130,[方1]0130,鏡片,目鏡仁　ba̍k-kiànn-lîn,目鏡仁　ba̍k-kiànn-jîn,目鏡仁　ba̍k-kiànn-lîn,目鏡仁　ba̍k-kiànn-jîn,目鏡仁　ba̍k-kiànn-jîn,目鏡仁　ba̍k-kiànn-jîn,目鏡仁　ba̍k-kiànn-lîn,目鏡仁　ba̍k-kiànn-jîn,目鏡仁　ba̍k-kiànn-lîn,鏡片　kiànn-phìnn
131,[方1]0131,溫度計,度針　tǒo-tsam,磅針　pōng-tsim,磅針　pōng-tsiam,度針　tōo-tsiam,度針　tōo-tsiam,度針　tōo-tsiam,溫度計　un-tōo-kè,"度針　tōo-tsam, 溫度計　un-tōo-kè",磅針　pōng-tsam,度針　tōo-tsam
132,[方1]0132,打氣筒,風抽仔　hong-thiu-á,風筒　hong-tâng,風灌　hong-kuàn,風灌仔　hong-kuàn-á,風筒　hong-tâng,風筒　hong-tâng,磅抽　pōng-thiu,風抽　hong-thiu,風灌仔　hong-kuàn-á,風捽仔　hong-tsu̍t-á
133,[方1]0133,掃把,掃帚　sàu-tshiú; sàu-tsiú; sàu-siú,掃帚　sàu-tshiú,掃帚　sàu-tshiú; sàu-tsiú,掃帚　sàu-tshiú,掃帚　sàu-tshiú,掃帚　sàu-tshiú,竹掃帚　tik-sàu-tsiú,竹掃　tik-sàu,掃梳　sàu-sue,掃梳　sàu-se
134,[方1]0134,掃帚,竹仔掃帚　tik-á-sàu-tsiú,掃祛　sàu-kiā,掃梳　sàu-sue,掃梳　sàu-se,掃梳　sàu-se,掃梳　sàu-se,掃帚　sàu-tsiú,掃帚　sàu-tshiú,掃帚　sàu-tshiú,掃帚　sàu-tsiú
135,[方1]0135,浴桶,風呂　hu55-looh3,風呂桶　hu55-lo55-tháng,風呂　hu55-looh3,風呂　hu55-loh3,風呂　hu55-looh3,風呂　hu55-looh3,柴跤桶　tshâ-kha-tháng,風呂　hu55-loh3,"洗身軀桶　sué-sing-khu-tháng, 風呂　hu55-loh3",風呂桶　hu55-loo55-tháng
136,[方1]0136,廁所,屎礐　sái-ha̍k,屎礐　sái-ha̍k,屎礐　sái-ha̍k,礐仔　ha̍k-á,屎礐仔　sái-ha̍k-á,屎礐仔　sái-ha̍k-á,"屎礐　sái-ha̍k, 便所　piān-sóo, 染顏　jiám-gân","屎礐　sái-ha̍k, 便所　piān-sóo ","屎礐仔間　sái-ha̍k-á-king, 便所　piān-sóo","屎礐仔　sái-ha̍k-á, 便所　piān-sóo"
137,[方1]0137,粗紙,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá; thoo-tsuá,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá,粗紙　tshoo-tsuá
138,[方1]0138,月經布,紮布　tsah-pòo,"月經帶　ge̍h-king-tuà, 紮布　tsah-pòo",紮布　tsah-pòo,紮布　tsah-pòo,紮布　tsah-pòo,紮布　tsah-pòo,紮布　tsah-pòo,暫無資料　,紮布　tsah-pòo,紮布　tsah-pòo
139,[方1]0139,擦便具,屎桮篾仔　sái-pue-bi̍h-á,屎桮篾　sái-pue-bī,屎桮篾仔　sái-pue-bi̍h-á,竹篾仔　tik-bi̍h-á,屎桮　sái-pue,"竹篾仔　tik-bi̍h-á, 屎桮　sái-pue",瓦缾　hāu-phiann,筅仔莖　tshán-á-king,暫無資料　,屎桮　sái-pe
140,[方1]0140,茶杯,"茶杯　tê-pue, 甌仔　au-á",茶杯　tê-pue,茶杯　tê-pue,"茶杯仔　tê-pue-á, 茶甌仔　tê-au-á","茶杯仔　tê-pue-á, 茶甌仔　tê-au-á","茶杯仔　tê-pue-á, 甌仔　au-á","茶杯　tê-pue, 茶甌　tê-au","茶杯　tê-pue, 茶甌　tê-au","茶杯　tê-pue, 茶甌仔　tê-au-á","茶杯仔　tê-pue-á, 茶甌　tê-au "
141,[方1]0141,床,眠床　bîn-tshn̂g; mn̂g-tshn̂g,眠床　bîn-tshn̂g,眠床　bîn-tshn̂g; mî-tshn̂g,"眠床　bîn-tshn̂g, 睏床　khùn-tshn̂g",眠床　bîn-tshn̂g; mn̂g-tshn̂g,眠床　bîn-tshn̂g,眠床　bîn-tshn̂g,眠床　bîn-tshn̂g,眠床　bîn-tshn̂g,眠床　bîn-tshn̂g
142,[方1]0142,算盤,算盤　sǹg-puânn,算盤　sǹg-puânn,算盤　sǹg-puânn,算盤　suìnn-puânn,算盤　sǹg-puânn,算盤　sǹg-puânn,算盤　sǹg-puânn,算盤　sǹg-puânn,算盤　sǹg-puânn,算盤　sǹg-puânn
143,[方1]0143,大秤,量仔　niū-á,量仔　niū-á,量仔　niū-á,量仔　niū-á,量仔　niō-á,量仔　niū-á,大量　tuā-niū,量　niū,"大秤　tuā-tshìn, 量　niū",量仔　niū-á
144,[方1]0144,秤砣,秤砣　tshìn-tô,秤錘　tshìn-thuî,秤砣　tshìn-thô(tô),秤錘　tshìn-thuî,秤錘仔　tshìn-thuî-á,秤錘　tshìn-thuî,秤砣　tshìn-tôo,秤砣　tshìn-tô,秤錘　tshìn-thuî,秤錘　tshìn-thuî
145,[方1]0145,磅秤,磅仔　pǒng-á,磅仔　pōng-á,磅仔　pōng-á,磅仔　pōng-á,磅仔　pōng-á,磅仔　pōng-á,磅　pōng,磅　pōng,磅仔　pōng-á,磅仔　pōng-á
146,[方1]0146,法碼,磅子　pǒng-tsí,磅子　pōng-tsí,磅子　pōng-tsí,磅子　pōng-tsí,磅子　pōng-tsí,磅子　pōng-tsí,暫無資料　,磅子　pōng-tsí,磅子　pōng-tsí,磅子　pōng-tsí
147,[方1]0147,躺椅,䖙椅　the-í,䖙椅　the-í,䖙椅　the-í,䖙椅　thenn-í,䖙椅　the-í,䖙椅　the-í,䖙椅　the-í,䖙椅　the-í,䖙椅　the-í,䖙椅　the-í
148,[方1]0148,抽屜,屜　thuah,屜　thuah,屜仔　thuah-á,屜仔　thuah-á,屜仔　thuah-á,屜仔　thuah-á,櫥屜　tû-thuah,屜　thuah,屜　thuah,屜仔　thuah-á
149,[方1]0149,梳子,"捋仔　lua̍h-á, 柴梳　tshâ-sue","捋仔　luā-á, 柴梳　tshâ-sere","捋仔　lua̍h-á, 柴梳　tshâ-sue","捋仔　luā-á, 柴梳　tshâ-se","捋仔　lua̍h-á, 柴梳　sâ-se","捋仔　lua̍h-á, 柴梳　tshâ-se",捋仔　luai̍h-á,"捋仔　luai̍h--á, 頭梳　thâu-sue","捋仔　luai̍h-á, 柴梳　tshâ-sue","捋仔　luai̍h-á(小), 柴梳　tshâ-se(大)"
150,[方1]0150,禮籃,𣛮籃　siǎnn-nâ,𣛮籃　siānn-nâ,𣛮崁　siānn-khàm,𣛮籃　siānn-nâ,𣛮籃　siānn-nâ,𣛮籃　siānn-nâ,𣛮籃　siā-nâ,𣛮籃　siā-nâ,𣛮籃　siā-nâ,𣛮籃　siānn-nâ
151,[方1]0151,禮箱,𣛮　siǎnn; siānn,春𣛮　tshun-siānn,篾絲籃仔　bi̍h-si-nâ-á,禮𣛮　lé-siānn,𣛮　siānn,𣛮　siānn,𣛮　siānn,𣛮　siānn,𣛮　siānn,𣛮　siānn
152,[方1]0152,手電筒,手電火　tshiú-tiān-hér,手電仔　tshiú-tiān-á,手電　tshiú-tiān,手電　tshiú-tiān,手電　tshiú-tiān,手電仔　tshiú-tiān-á,手電　tshiú-tiān,手電　tshiú-tiān,手電　tshiú-tiān,手電仔　tshiú-tiān-á
153,[方1]0153,廚房,灶跤　tsàu-kha,"灶跤　tsàu-kha, 廚房　tû-pâng","灶跤　tsàu-kha, 廚房　tû-pâng","灶跤　tsàu-kha, 廚房　tû-pâng","灶跤　tsàu-kha, 廚房　tû-pâng","灶跤　tsàu-kha, 廚房　tû-pâng",灶跤　tsàu-kha,灶跤　tsàu-kha,灶跤　tsàu-kha,"灶跤　tsàu-kha, 廚房　tû-pâng"
154,[方1]0154,灶,灶　tsàu,大灶　tuā-tsàu,灶　tsàu,灶　tsàu,灶　tsàu,灶　tsàu,灶　tsàu,灶　tsàu,灶　tsàu,灶　tsàu
155,[方1]0155,風櫃,風櫃　hong-kuǐ,風櫃　hong-kuī,風櫃　hong-kuī,"風鼓　hong-kóo, 風櫃　hong-kuī","風鼓　hong-kóo, 風櫃　hong-kuī",風櫃　hong-kuī,風鼓　huang-kóo,"風櫃　hong-kuī, 風鼓　hong-kóo",風櫃　hong-kuī,風櫃　hong-kuī
156,[方1]0156,飯桶,飯桶　pňg-tháng,飯桶　pn̄g-tháng,"飯斗　pn̄g-táu, 飯桶　pn̄g-tháng",飯桶　puīnn-tháng,"飯斗　pn̄g-táu, 飯桶　pn̄g-tháng",飯桶　pn̄g-tháng,飯桶　pn̄g-tháng,飯桶　pn̄g-tháng,"飯桶　pn̄g-tháng, 飯斗　pn̄g-táu","飯桶　pn̄g-tháng, 飯坩　pn̄g-khann"
157,[方1]0157,飯匙,飯匙　pňg-sî,飯匙　pn̄g-sî,飯匙　pn̄g-sî,飯匙　puīnn-sî,飯匙　pn̄g-sî,飯匙　pn̄g-sî,飯匙　pn̄g-sî,飯匙　pn̄g-sî,飯匙　pn̄g-sî,飯匙　pn̄g-sî
158,[方1]0158,生鐵鍋,"生鍋　sinn-er, 鍋仔　er-á",生鍋　sinn-er,生鍋　sinn-e,"生鍋　senn-ue, 鍋仔　ue-á","生鍋　senn-ue, 鍋仔　ue-á",生鍋　senn-ue,生鍋　sinn-er,生鍋　sinn-e,生鍋　sinn-er; sinn-e,生鍋　senn-ue
159,[方1]0159,飯盒,暫無資料　,飯包　pn̄g-pau,便當盒仔　piān-tong-a̍h-á,便當篋仔　piān-tong-kheh-á,"盒仔　a̍h-á, 飯篋仔　pn̄g-kheh-á","便當篋仔　piān-tong-kheh-á, 飯篋仔　pn̄g-kheh-á",飯盒　pn̄g-a̍h,飯盒　pn̄g-a̍h,便當盒仔　piān-tong-a̍p-á,便當盒仔　piān-tong-a̍p-á
160,[方1]0160,砧板,砧　tiam,刀砧　to-tiam,砧　tiam,"肉砧　bah-tiam, 砧　tiam, 菜砧　tshài-tiam","肉砧　bah-tiam, 砧　tiam, 菜砧　tshài-tiam","肉砧　bah-tiam, 砧　tiam, 菜砧　tshài-tiam",砧　tiam,砧　tiam,砧　tiam,砧　tiam
161,[方1]0161,竹篾刷子,"竹筅　tik-tshíng, 鼎筅　tiánn-tshíng, 鼎摖　tiánn-tshuè",鼎摖　tiánn-tshè,鼎摖　tiánn-tshè,鼎摖　tiánn-tshè,鼎摖　tiánn-tshè,鼎摖　tiánn-tshè,筅　tsháinn,鼎摖　tiánn-tshuè,"鼎筅　tiánn-tshíng, 鼎摖　tiánn-tshuè",鼎摖　tiánn-tshè
